shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
43972,39.969865,-82.990439,151,8.2724
43972,39.969261,-82.990486,152,8.3395
43972,39.969151,-82.990507,153,8.3527
43972,39.968595,-82.990553,154,8.4148
43972,39.967837,-82.990608,155,8.5000
43972,39.967451,-82.990636,156,8.5430
43972,39.967438,-82.990700,157,8.5491
43972,39.967329,-82.991259,158,8.5979
43972,39.967228,-82.991810,159,8.6461
43972,39.967191,-82.992117,160,8.6724
43972,39.967154,-82.992433,161,8.6987
43972,39.967081,-82.993066,162,8.7533
43972,39.966946,-82.994300,163,8.8594
43972,39.966792,-82.995637,164,8.9737
43972,39.966735,-82.996178,165,9.0202
43972,39.966733,-82.996192,166,9.0212
43972,39.966736,-82.996247,167,9.0253
43972,39.966740,-82.996311,168,9.0313
43972,39.966740,-82.996505,169,9.0473
43972,39.966801,-82.997038,170,9.0929
43972,39.966698,-82.997902,171,9.1678
43972,39.966598,-82.998764,172,9.2407
43972,39.966425,-83.000260,173,9.3691
43972,39.966398,-83.000530,174,9.3923
43972,39.966342,-83.000994,175,9.4317
43972,39.966294,-83.001434,176,9.4701
43972,39.965625,-83.001302,177,9.5459
43972,39.964951,-83.001174,178,9.6227
43972,39.964290,-83.001047,179,9.6975
43972,39.963617,-83.000916,180,9.7723
43972,39.962952,-83.000786,181,9.8481
43972,39.962237,-83.000647,182,9.9288
43972,39.961687,-83.000534,183,9.9916
43972,39.960157,-83.000249,184,10.1643
43972,39.959505,-83.000129,185,10.2380
43972,39.958819,-82.999988,186,10.3159
43972,39.958156,-82.999857,187,10.3907
43972,39.957792,-82.999787,188,10.4320
43972,39.957494,-82.999727,189,10.4664
43972,39.957021,-82.999639,190,10.5200
43972,39.956758,-82.999592,191,10.5493
43972,39.956154,-82.999472,192,10.6180
43972,39.955481,-82.999345,193,10.6938
43972,39.954811,-82.999214,194,10.7696
43972,39.953485,-82.998955,195,10.9201
43972,39.953407,-82.998937,196,10.9293
43972,39.953352,-82.998931,197,10.9353
43972,39.953177,-82.998901,198,10.9545
43972,39.953102,-82.998886,199,10.9636
43972,39.952951,-82.998863,200,10.9807
43972,39.952782,-82.998825,201,11.0000
43972,39.952632,-82.998795,202,11.0162
43972,39.952575,-82.998788,203,11.0232
43972,39.952695,-82.997888,204,11.1005
43972,39.952812,-82.997054,205,11.1727
43972,39.952800,-82.996277,206,11.2387
43972,39.952776,-82.996111,207,11.2530
43972,39.952769,-82.996107,208,11.2530
43972,39.952734,-82.995207,209,11.3291
43972,39.952742,-82.995211,210,11.3291
43972,39.952710,-82.995155,211,11.3350
43972,39.952706,-82.995084,212,11.3411
43972,39.952699,-82.994776,213,11.3671
43972,39.952682,-82.994425,214,11.3971
43972,39.952669,-82.994104,215,11.4242
43972,39.952684,-82.993794,216,11.4503
43972,39.952668,-82.993427,217,11.4813
43972,39.952650,-82.993085,218,11.5104
43972,39.952637,-82.992790,219,11.5355
43972,39.952629,-82.992786,220,11.5355
43972,39.952612,-82.992436,221,11.5656
43972,39.952620,-82.992440,222,11.5656
43972,39.952607,-82.992090,223,11.5946
43972,39.952580,-82.991508,224,11.6447
